collected_at,location,latitude,longitude,forecast_time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pm10,pm2_5
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T00:00,18.9,93,1.2,9.0,15.0,13.4
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T01:00,18.3,93,1.1,5.4,15.2,12.9
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T02:00,17.8,93,0.2,5.8,14.0,11.5
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T03:00,18.0,95,0.5,4.9,13.9,11.0
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T04:00,17.8,96,2.3,6.6,14.9,11.6
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T05:00,17.7,96,0.9,3.3,15.7,12.3
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T06:00,17.7,96,1.4,4.3,14.2,11.1
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T07:00,17.6,97,1.0,3.9,11.8,9.7
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T08:00,17.8,96,0.6,5.8,8.7,7.9
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T09:00,18.0,97,1.8,8.7,5.0,4.7
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T10:00,18.4,95,0.9,7.5,4.4,4.3
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T11:00,19.3,93,0.0,8.1,4.7,4.6
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T12:00,20.7,86,0.0,8.2,5.7,5.5
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T13:00,21.2,83,0.0,6.6,6.0,5.8
2026-09-26T09:18:44+09:00,진주,35.19278,128.08472,2026-09-26T14:00,21.7,82,0.0,6.0,6.1,5.9
