collected_at,location,latitude,longitude,forecast_time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pm10,pm2_5
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T00:00,20.6,87,0.0,4.5,33.8,33.1
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T01:00,20.2,88,0.0,6.3,34.7,34.0
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T02:00,19.9,89,0.0,6.6,35.3,34.6
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T03:00,19.5,92,0.0,5.9,35.6,34.9
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T04:00,19.3,94,0.0,5.5,35.9,34.9
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T05:00,19.2,95,0.0,4.7,35.7,34.2
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T06:00,19.2,95,0.0,4.7,35.7,33.5
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T07:00,19.1,96,0.0,2.3,36.6,33.9
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T08:00,20.6,89,0.0,5.4,36.7,34.7
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T09:00,21.9,83,0.0,6.9,29.8,24.0
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T10:00,23.1,78,0.0,6.8,24.0,19.3
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T11:00,24.1,72,0.0,7.2,20.0,16.7
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T12:00,24.6,68,0.0,5.8,17.9,15.4
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T13:00,24.9,65,0.0,5.1,17.9,15.3
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T14:00,24.8,64,0.0,3.6,19.2,16.0
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T15:00,24.5,65,0.0,2.8,21.2,18.2
2026-09-25T09:11:26+09:00,대구,35.87028,128.59111,2026-09-25T16:00,23.3,78,0.1,1.9,26.3,24.3
