collected_at,location,latitude,longitude,forecast_time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pm10,pm2_5
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T00:00,18.9,83,0.0,1.3,13.4,10.0
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T01:00,18.5,86,0.0,3.8,14.7,11.3
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T02:00,18.2,84,0.0,4.7,15.3,11.9
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T03:00,17.2,90,0.0,4.8,14.8,11.6
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T04:00,16.7,91,0.0,4.6,15.9,12.5
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T05:00,16.3,92,0.0,4.4,17.8,14.1
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T06:00,16.2,90,0.0,4.3,26.1,20.8
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T07:00,16.3,89,0.0,3.6,29.2,25.4
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T08:00,17.5,85,0.0,3.1,27.5,25.6
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T09:00,19.4,78,0.0,1.8,20.1,17.6
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T10:00,21.9,69,0.0,1.5,15.7,11.2
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T11:00,24.1,64,0.0,4.6,14.1,9.9
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T12:00,25.7,58,0.0,6.6,14.1,9.8
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T13:00,26.7,55,0.0,7.9,14.2,9.7
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T14:00,27.3,52,0.0,8.4,13.8,9.3
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T15:00,27.6,49,0.0,8.3,13.4,8.8
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T16:00,27.4,47,0.0,8.2,12.7,8.3
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T17:00,26.7,48,0.0,7.4,12.1,7.9
2026-09-21T08:46:12+09:00,대구,35.87028,128.59111,2026-09-21T18:00,24.6,56,0.0,7.2,11.6,8.1
