collected_at,location,latitude,longitude,forecast_time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pm10,pm2_5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T00:00,19.9,82,0.0,3.9,13.5,10.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T01:00,19.4,85,0.0,3.3,12.8,9.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T02:00,19.0,86,0.0,3.3,12.5,9.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T03:00,18.8,86,0.0,2.7,12.5,9.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T04:00,18.5,88,0.0,3.7,12.6,9.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T05:00,18.2,89,0.0,3.8,12.9,10.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T06:00,17.9,89,0.0,3.7,13.1,10.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T07:00,18.2,89,0.0,3.6,13.4,10.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T08:00,19.6,83,0.0,2.5,15.1,12.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T09:00,22.4,73,0.0,2.2,18.7,14.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T10:00,25.2,62,0.0,6.9,20.3,15.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T11:00,26.4,58,0.0,8.4,21.2,16.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T12:00,27.3,56,0.0,8.9,21.7,16.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T13:00,27.8,55,0.0,9.2,21.4,16.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T14:00,28.1,54,0.0,9.4,21.0,15.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T15:00,28.2,52,0.0,8.7,20.6,15.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T16:00,28.1,51,0.0,8.9,20.7,15.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T17:00,27.3,54,0.0,8.9,21.0,15.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T18:00,25.7,61,0.0,9.0,21.7,16.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T19:00,23.6,67,0.0,9.4,24.0,18.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T20:00,22.3,69,0.0,9.4,25.9,20.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T21:00,21.5,72,0.0,8.3,27.4,22.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T22:00,20.8,75,0.0,5.8,29.3,23.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-07T23:00,20.3,77,0.0,1.5,31.2,25.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T00:00,19.8,79,0.0,2.2,32.9,27.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T01:00,19.2,83,0.0,4.0,33.6,28.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T02:00,18.6,82,0.0,4.6,33.3,27.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T03:00,17.9,86,0.0,4.6,31.9,25.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T04:00,17.7,87,0.0,4.0,31.7,25.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T05:00,17.0,91,0.0,3.9,30.9,24.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T06:00,16.8,89,0.0,5.0,30.2,23.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T07:00,17.1,90,0.0,5.5,29.8,23.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T08:00,18.4,86,0.0,4.7,29.0,22.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T09:00,20.6,79,0.0,4.0,28.1,21.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T10:00,23.1,70,0.0,3.1,29.5,21.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T11:00,25.2,63,0.0,4.6,36.8,27.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T12:00,26.6,59,0.0,4.0,41.0,30.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T13:00,27.9,56,0.0,4.4,41.6,30.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T14:00,28.7,52,0.0,6.0,41.4,30.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T15:00,28.9,52,0.0,6.7,40.4,30.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T16:00,28.9,53,0.0,7.9,39.2,29.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T17:00,27.4,61,0.0,10.5,38.3,29.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T18:00,26.1,67,0.0,10.1,37.8,29.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T19:00,23.9,64,0.0,11.2,39.0,31.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T20:00,22.6,68,0.0,10.1,37.0,30.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T21:00,21.9,70,0.0,6.6,33.5,27.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T22:00,21.5,70,0.0,3.3,31.3,25.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-08T23:00,20.9,72,0.0,1.8,31.7,26.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T00:00,20.4,75,0.0,2.3,31.5,25.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T01:00,19.8,78,0.0,3.2,29.9,24.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T02:00,19.4,82,0.0,3.1,27.1,21.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T03:00,19.5,83,0.0,1.9,21.7,17.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T04:00,19.4,86,0.0,2.2,14.1,11.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T05:00,19.1,91,0.0,2.2,9.5,7.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T06:00,18.9,90,0.0,3.4,9.9,7.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T07:00,19.5,85,0.0,3.1,11.7,9.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T08:00,22.0,66,0.0,5.9,14.9,11.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T09:00,23.4,61,0.0,11.0,16.4,12.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T10:00,24.4,59,0.0,12.6,16.2,12.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T11:00,24.9,59,0.0,13.0,16.1,11.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T12:00,25.2,58,0.0,12.8,15.9,11.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T13:00,25.4,57,0.0,12.5,15.8,11.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T14:00,25.8,54,0.0,12.7,16.1,11.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T15:00,25.6,52,0.0,13.7,16.3,11.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T16:00,24.9,53,0.0,13.9,16.2,11.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T17:00,23.8,55,0.0,13.2,16.1,11.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T18:00,22.6,58,0.0,11.4,15.5,11.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T19:00,21.3,61,0.0,8.3,15.2,11.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T20:00,20.5,64,0.0,6.1,15.0,10.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T21:00,19.9,66,0.0,5.1,14.7,10.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T22:00,19.5,67,0.0,3.4,14.7,10.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-09T23:00,18.7,78,0.0,2.6,15.0,11.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T00:00,18.3,72,0.0,2.2,14.7,11.0
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T01:00,17.7,75,0.0,3.5,14.5,10.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T02:00,17.3,75,0.0,4.2,14.2,10.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T03:00,17.0,77,0.0,4.4,14.0,10.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T04:00,16.6,79,0.0,3.6,13.8,10.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T05:00,16.4,80,0.0,3.6,13.5,9.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T06:00,16.1,81,0.0,3.3,13.4,9.7
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T07:00,17.2,76,0.0,5.0,13.8,10.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T08:00,19.6,64,0.0,6.6,12.5,9.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T09:00,21.5,54,0.0,16.6,12.6,8.8
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T10:00,22.5,51,0.0,15.4,13.0,9.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T11:00,23.7,45,0.0,14.8,13.5,9.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T12:00,24.4,44,0.0,14.4,14.0,9.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T13:00,24.9,43,0.0,14.3,14.3,10.1
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T14:00,25.2,41,0.0,14.6,14.3,10.2
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T15:00,25.2,41,0.0,14.0,13.9,9.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T16:00,24.5,43,0.0,14.2,13.4,9.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T17:00,23.4,45,0.0,14.3,12.9,9.3
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T18:00,22.3,48,0.0,14.1,12.7,9.4
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T19:00,21.3,53,0.0,13.4,13.1,9.9
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T20:00,20.4,58,0.0,12.3,13.7,10.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T21:00,19.6,62,0.0,10.7,14.8,11.6
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T22:00,19.1,65,0.0,8.4,16.9,13.5
2026-09-07T08:23:25+09:00,대구,35.87028,128.59111,2026-09-10T23:00,18.8,67,0.0,5.9,18.9,15.5
